K,method_id,label,scheme,avgSE,likely95SE,avgEE,avgTauP,avgRF,avgEdges
25,random,Random,Random,3.957897791016791,1.6470472309264814,0.8431273626663685,15.0,4.7506,46.25
30,random,Random,Random,3.879746668784546,1.5828267787923684,0.8753843143517055,15.0,5.3014,67.17
35,random,Random,Random,3.781464462833446,1.387694497037018,0.9063858331954762,15.0,5.740799999999999,93.15
40,random,Random,Random,3.673864022348897,1.2853493791280253,0.9361588300563276,15.0,6.0676,120.56
45,random,Random,Random,3.6041082069107233,1.1763489445297075,0.9663223679578238,15.0,6.398,154.95
50,random,Random,Random,3.525685590420189,1.1241009345756647,0.9936177660741912,15.0,6.664200000000001,188.245
25,gao,Gao Matching,GaoMatching,3.9551493183966073,1.6341719924811118,0.8425719187550701,15.0,4.7506,46.25
30,gao,Gao Matching,GaoMatching,3.8778837941815216,1.5769643206420143,0.8749765130330809,15.0,5.3014,67.17
35,gao,Gao Matching,GaoMatching,3.779361352496811,1.3881799391417369,0.905884200719779,15.0,5.740799999999999,93.15
40,gao,Gao Matching,GaoMatching,3.672390278556015,1.2854977002189436,0.9357708664583732,15.0,6.0676,120.56
45,gao,Gao Matching,GaoMatching,3.6025555616607465,1.1827839771369362,0.9659064770779432,15.0,6.398,154.95
50,gao,Gao Matching,GaoMatching,3.524885620471097,1.1289530613548069,0.9933889484774756,15.0,6.664200000000001,188.245
25,mussbah,Mussbah Beam Graph,Proposed,3.687566429214248,1.5563380861519711,0.8063188292785091,23.725,2.562825,298.4
30,mussbah,Mussbah Beam Graph,Proposed,3.4816044869966807,1.430288893978929,0.8181644575974741,28.255,2.9472500000000004,432.745
35,mussbah,Mussbah Beam Graph,Proposed,3.264970461615412,1.2152156137471837,0.8188309157218491,32.77,3.3182000000000005,591.895
40,mussbah,Mussbah Beam Graph,Proposed,3.05394960700886,1.0694731007667089,0.8161950087591575,37.14,3.64515,775.97
45,mussbah,Mussbah Beam Graph,Proposed,2.8823195029378588,0.957237800969824,0.8157784005926041,41.385,3.94085,984.72
50,mussbah,Mussbah Beam Graph,Proposed,2.706272357776623,0.8738613393417297,0.8073607166041529,45.76,4.232724999999999,1218.65
25,topn,AP-Top-N (N=8),H3TopAPAdaptive,4.249978769394495,1.757488772387071,0.9048057889584844,5.01,4.7506,60.745
30,topn,AP-Top-N (N=8),H3TopAPAdaptive,4.149880097578501,1.6871708655525437,0.9357397113985136,5.6,5.3014,88.51
35,topn,AP-Top-N (N=8),H3TopAPAdaptive,4.025304100544932,1.4802899420271172,0.9642539327839448,6.255,5.740799999999999,122.365
40,topn,AP-Top-N (N=8),H3TopAPAdaptive,3.897162990912376,1.3655175750896364,0.9923881569423868,6.785,6.0676,160.71
45,topn,AP-Top-N (N=8),H3TopAPAdaptive,3.8079052917683858,1.2495815546128222,1.020358041883945,7.335,6.398,203.24
50,topn,AP-Top-N (N=8),H3TopAPAdaptive,3.7144713145591535,1.1951159458367555,1.0461635890308707,7.785,6.664200000000001,251.855
25,beam_weighted,Beam-Weighted Threshold,Proposed,4.0876472279351646,1.711185103315504,0.8929262600382232,10.035,2.562825,183.825
30,beam_weighted,Beam-Weighted Threshold,Proposed,3.959466758026407,1.6171389819413944,0.9291384851541524,11.57,2.9472500000000004,268.245
35,beam_weighted,Beam-Weighted Threshold,Proposed,3.813618726273294,1.411930086789742,0.9546018133992372,13.09,3.3182000000000005,367.22
40,beam_weighted,Beam-Weighted Threshold,Proposed,3.667530067754914,1.286854441499552,0.9779004691388872,14.49,3.64515,482.21
45,beam_weighted,Beam-Weighted Threshold,Proposed,3.560501754528942,1.1740191953193595,1.0048858639359273,15.865,3.94085,615.28
50,beam_weighted,Beam-Weighted Threshold,Proposed,3.452163131688934,1.109547714164377,1.0264194593016331,17.06,4.232724999999999,751.285
25,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,4.275153845537998,1.78648623433324,0.9330841971394286,3.69,2.562825,183.825
30,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,4.175700723048652,1.7020387175506249,0.9788745613335408,4.09,2.9472500000000004,268.245
35,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,4.055142746561272,1.4984749014281022,1.0138992813887415,4.505,3.3182000000000005,367.22
40,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.935613164919795,1.3742239091355857,1.048049630567408,4.655,3.64515,482.21
45,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.8493574324032656,1.275917948667196,1.0848241871210738,5.055,3.94085,615.28
50,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.7606617818737766,1.2035899409343696,1.1163136688020143,5.285,4.232724999999999,751.285
