K,method_id,label,scheme,avgSE,likely95SE,avgEE,avgTauP,avgRF,avgEdges,avgThroughputMbps,p5ThroughputMbps
50,random,Random,Random,3.513837228123335,1.0813696622054156,0.9873308439810878,15.0,6.689,190.425,70.27674456246669,21.627393244108312
50,gao,Gao Matching,GaoMatching,3.51230343627072,1.0724580583719026,0.9869114309426834,15.0,6.689,190.425,70.2460687254144,21.449161167438053
50,topn,AP-Top-N (N=8),H3TopAPAdaptive,3.699284862863415,1.1263894388601075,1.0388240407194365,7.85,6.689,249.995,73.9856972572683,22.527788777202147
50,beam_weighted,Beam-Weighted Threshold,Proposed,3.4416461852585125,1.0537111581063874,1.0207483800456219,17.02,4.251275,758.385,68.83292370517024,21.074223162127748
50,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.746313569924855,1.1406631500156434,1.1093516444757932,5.33,4.251275,758.385,74.92627139849711,22.81326300031287
50,mussbah,Mussbah Beam Graph,Proposed,2.7013778055372013,0.830231359298133,0.8039900072197284,45.61,4.251275,1218.405,54.02755611074403,16.60462718596266
100,random,Random,Random,2.9314058206921385,0.6454534847607875,1.2182609246900344,15.0,7.766400000000001,772.765,58.62811641384277,12.909069695215749
100,gao,Gao Matching,GaoMatching,2.93034883680588,0.6523776382885432,1.2178231102180077,15.0,7.766400000000001,772.765,58.6069767361176,13.047552765770863
100,topn,AP-Top-N (N=8),H3TopAPAdaptive,2.984575733324515,0.6629262471946864,1.2399918178495133,12.52,7.766400000000001,1016.045,59.69151466649029,13.258524943893729
100,beam_weighted,Beam-Weighted Threshold,Proposed,2.583482377491436,0.5787600788268753,1.11827732818551,30.175,6.146400000000001,3064.54,51.66964754982872,11.575201576537507
100,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.0615555096304896,0.6781801693692933,1.319940571028606,8.055,6.146400000000001,3064.54,61.2311101926098,13.563603387385866
100,mussbah,Mussbah Beam Graph,Proposed,1.369783827333649,0.3067534650235519,0.5988371637908502,86.465,6.146400000000001,4924.555,27.395676546672977,6.135069300471038
150,random,Random,Random,2.5439708589547703,0.46067616689154145,1.3391747725187424,15.0,7.962999999999999,1751.85,50.879417179095405,9.213523337830829
150,gao,Gao Matching,GaoMatching,2.5436620348554206,0.4614949021253163,1.3390124779220571,15.0,7.962999999999999,1751.745,50.87324069710841,9.229898042506326
150,topn,AP-Top-N (N=8),H3TopAPAdaptive,2.50582190788636,0.45618829510523873,1.3194876608466848,17.04,7.962999999999999,2300.885,50.116438157727195,9.123765902104774
150,beam_weighted,Beam-Weighted Threshold,Proposed,2.0159699873236216,0.3694208112712244,1.0835559656594027,42.26,7.072724999999999,6899.225,40.319399746472435,7.388416225424488
150,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,2.6114351160617573,0.4715579484354304,1.3937751002336696,10.41,7.072724999999999,6899.225,52.22870232123514,9.431158968708608
150,mussbah,Mussbah Beam Graph,Proposed,0.47085028222697134,0.08426347459025937,0.25774629111862596,124.845,7.072724999999999,11118.415,9.417005644539428,1.6852694918051874
