N,K,method_id,label,throughput_mbps,se_bps_per_hz
8,50,random,Random,60.63885063765695,3.0319425318828475
8,50,random,Random,74.7256078375283,3.736280391876415
8,50,random,Random,52.46063281941585,2.6230316409707926
8,50,random,Random,89.70309370211262,4.485154685105631
8,50,random,Random,95.51543123898567,4.775771561949283
8,50,random,Random,89.99849635726736,4.499924817863367
8,50,random,Random,67.29940776321254,3.364970388160627
8,50,random,Random,98.04636611783064,4.902318305891533
8,50,random,Random,107.01657085951003,5.350828542975501
8,50,random,Random,25.462549142588077,1.273127457129404
8,50,random,Random,36.26184226583193,1.8130921132915967
8,50,random,Random,60.984436029946295,3.049221801497315
8,50,random,Random,70.70255017331249,3.5351275086656244
8,50,random,Random,63.382371400550554,3.1691185700275275
8,50,random,Random,102.75614866955371,5.137807433477685
8,50,random,Random,90.52086764527476,4.526043382263738
8,50,random,Random,41.46393469954419,2.0731967349772096
8,50,random,Random,100.9064379180657,5.045321895903285
8,50,random,Random,68.31218398407829,3.4156091992039146
8,50,random,Random,77.63641979665489,3.881820989832745
8,50,random,Random,48.67682693383717,2.4338413466918585
8,50,random,Random,80.6664411134976,4.03332205567488
8,50,random,Random,83.93218010142687,4.196609005071344
8,50,random,Random,28.131361896116058,1.406568094805803
8,50,random,Random,108.55473194987066,5.427736597493533
8,50,random,Random,82.14001770783265,4.107000885391632
8,50,random,Random,92.33353622780622,4.616676811390311
8,50,random,Random,33.20579909118691,1.6602899545593455
8,50,random,Random,94.25512512580823,4.712756256290412
8,50,random,Random,73.96070169073289,3.6980350845366448
8,50,random,Random,77.29572185368727,3.864786092684364
8,50,random,Random,101.11490773471722,5.055745386735861
8,50,random,Random,53.007031876518795,2.6503515938259397
8,50,random,Random,92.39576440831922,4.619788220415961
8,50,random,Random,76.14950024744508,3.807475012372254
8,50,random,Random,38.34751006372239,1.9173755031861193
8,50,random,Random,92.759191561946,4.637959578097299
8,50,random,Random,22.461267974747145,1.1230633987373573
8,50,random,Random,63.40060319689801,3.1700301598449006
8,50,random,Random,20.686773295901354,1.0343386647950676
8,50,random,Random,42.609846232375496,2.1304923116187746
8,50,random,Random,71.88768136936086,3.594384068468043
8,50,random,Random,66.19552867853466,3.309776433926733
8,50,random,Random,81.5685788917478,4.07842894458739
8,50,random,Random,82.60595828907411,4.130297914453705
8,50,random,Random,54.11546414154165,2.705773207077083
8,50,random,Random,65.40963037372663,3.2704815186863314
8,50,random,Random,83.4240435409469,4.171202177047345
8,50,random,Random,62.077439795266194,3.10387198976331
8,50,random,Random,81.33475302698987,4.066737651349494
8,50,random,Random,98.98436278098403,4.949218139049202
8,50,random,Random,61.4554143161507,3.0727707158075352
8,50,random,Random,89.56803235143855,4.478401617571928
8,50,random,Random,54.20685782559173,2.710342891279587
8,50,random,Random,62.06444283232946,3.103222141616473
8,50,random,Random,15.986397760448423,0.7993198880224212
8,50,random,Random,92.30766002081954,4.6153830010409775
8,50,random,Random,105.58847691543392,5.279423845771696
