tau_p,scheme,n_samples,p5_mbps,p5_ci_low,p5_ci_high,p5_ci_half_width,p5_se
10,Gao matching,20000,5.058825931707378,4.985380475176344,5.137031439740183,0.07582548228191976,0.03789512932448086
10,Graph coloring (full bisection),20000,4.9890486198839366,4.905752304884008,5.075300487947926,0.0847740915319588,0.04293542833220134
10,"Graph coloring (no bisection, θ=0.6)",20000,5.182342191394438,5.072953863690142,5.27096048759871,0.09900331195428436,0.04927831791520798
10,"Graph coloring (no bisection, θ=0.9)",20000,5.022890842670248,4.923921962574481,5.103696705265817,0.08988737134566804,0.0454780139249167
10,Random,20000,4.557845751955379,4.454839412971263,4.636008840581503,0.09058471380512012,0.04598746680935741
10,Structured access (full bisection),20000,4.7597860159976495,4.647759087313167,4.849819418835726,0.10103016576127954,0.046719509815473195
10,"Structured access (no bisection, δ=0.3)",20000,5.103893800935373,5.004343891149154,5.192703279123968,0.09417969398740711,0.048753916383532714
10,"Structured access (no bisection, δ=0.5)",20000,5.094386212157914,4.987298280632652,5.175545992935086,0.09412385615121677,0.0511355231816426
10,Top-AP coloring (N=10),20000,5.127096411660231,5.034358406233539,5.215485582224558,0.09056358799550912,0.04448155786790151
10,Top-AP coloring (N=3),20000,5.122699996140064,5.023649765319482,5.222066180920919,0.09920820780071837,0.05123850474360478
10,Top-AP coloring (N=5),20000,5.331167886062524,5.220721906513831,5.421219960808256,0.10024902714721229,0.04817482259121308
10,Upper bound,20000,7.173667805523969,7.085961264302279,7.2679581568012654,0.09099844624949327,0.04715787973843871
15,Gao matching,20000,5.418288920510889,5.333129966653446,5.507350127931822,0.08711008063918824,0.04183535657009179
15,Graph coloring (full bisection),20000,5.428255904408068,5.320979245128332,5.506913184838657,0.0929669698551625,0.04803923968660558
15,"Graph coloring (no bisection, θ=0.6)",20000,5.448028191266443,5.35218720522109,5.524448148919999,0.08613047184945444,0.0419499621851593
15,"Graph coloring (no bisection, θ=0.9)",20000,5.476722800851977,5.3768782061548475,5.569348585182284,0.09623518951371812,0.04676808703395469
15,Random,20000,4.947687228122196,4.849823153162555,5.034923915901355,0.09255038136939975,0.050924024568032134
15,Structured access (full bisection),20000,5.443280004933332,5.369047795363797,5.555055907915657,0.09300405627592978,0.04729249557034615
15,"Structured access (no bisection, δ=0.3)",20000,5.603182873704406,5.520474622058935,5.670976912900697,0.07525114542088085,0.04005755207807075
15,"Structured access (no bisection, δ=0.5)",20000,5.424478056371101,5.320211951954906,5.505636748522185,0.09271239828363953,0.04975669590685817
15,Top-AP coloring (N=10),20000,5.748524694755251,5.6681338762574125,5.830249640096137,0.08105788191936236,0.04159777043092426
15,Top-AP coloring (N=3),20000,5.419130196385827,5.328152569780692,5.540724993362099,0.10628621179070352,0.05471203739063356
15,Top-AP coloring (N=5),20000,5.557436428128504,5.485798673045477,5.647076535560728,0.08063893125762567,0.04455625848494025
15,Upper bound,20000,6.865847329023183,6.771743034002668,6.942156382504897,0.08520667425111439,0.044497691106958
20,Gao matching,20000,5.588162246807213,5.469206192449954,5.682231680721621,0.10651274413583334,0.055989526411351964
20,Graph coloring (full bisection),20000,5.574747908538344,5.521457186121627,5.661838735255499,0.07019077456693568,0.03909628048003428
20,"Graph coloring (no bisection, θ=0.6)",20000,5.6622430168190725,5.578510325196658,5.742355810819732,0.08192274281153722,0.04023210199342514
20,"Graph coloring (no bisection, θ=0.9)",20000,5.857654471082872,5.7283003876295515,5.953698785765,0.11269919906772419,0.06274108136317595
20,Random,20000,5.264066091039681,5.17227811299697,5.360982381188715,0.0943521340958724,0.04661821024259189
20,Structured access (full bisection),20000,5.823914059496837,5.7253663641103145,5.907242129344796,0.0909378826172409,0.04431314397408228
