tau_p,scheme,n_samples,p5_mbps,p5_ci_low,p5_ci_high,p5_ci_half_width,p5_se
10,Gao matching,20000,5.058825931707378,4.985380475176344,5.137031439740183,0.07582548228191976,0.03789512932448086
10,Graph coloring (full),20000,4.9890486198839366,4.905752304884008,5.075300487947926,0.0847740915319588,0.04293542833220134
10,H2 Gao+greedy,20000,5.3220904100296105,5.2329772049310925,5.4179750081266915,0.0924989015977995,0.0466487689163215
10,Structured access (full),20000,4.7597860159976495,4.647269491807012,4.849418947148223,0.10107472767060566,0.046327092726421736
10,TopAP (N=10),20000,5.127096411660231,5.030356255491474,5.226087280905157,0.09786551270684152,0.046567087895004196
10,TopAP (N=5),20000,5.331167886062524,5.228344198837276,5.421834563292122,0.09674518222742279,0.047473189364547724
10,TopAP (bisect),20000,5.390171168944821,5.300643120331108,5.471637307015718,0.08549709334230515,0.04671608229530072
15,Gao matching,20000,5.418288920510889,5.337648919584849,5.51675227188644,0.08955167615079551,0.04177684253044131
15,Graph coloring (full),20000,5.428255904408068,5.324601677781043,5.4983731460741625,0.08688573414655965,0.04525842581384539
15,H2 Gao+greedy,20000,5.645674431623449,5.56806995102667,5.713599990061662,0.07276501951749603,0.04025379134957623
15,Structured access (full),20000,5.443280004933332,5.369420379883063,5.55799732382261,0.09428847196977364,0.04983226854085742
15,TopAP (N=10),20000,5.748524694755251,5.670240863797868,5.830423122188502,0.08009112919531702,0.040350681750564395
15,TopAP (N=5),20000,5.557436428128504,5.485798673045477,5.659948342307569,0.08707483463104593,0.046035564180934845
15,TopAP (bisect),20000,5.737297943403158,5.641708138430789,5.829462707830508,0.09387728469985968,0.04550250330411305
20,Gao matching,20000,5.588162246807213,5.472080764801481,5.685816909013446,0.10686807210598248,0.055938671017834965
20,Graph coloring (full),20000,5.574747908538344,5.51674036357581,5.6642981317915035,0.07377888410784683,0.03980005523991924
20,H2 Gao+greedy,20000,5.8800241289481106,5.80300772951262,5.991785713703021,0.09438899209520057,0.04943930258328418
20,Structured access (full),20000,5.823914059496837,5.720547792708707,5.909676825045911,0.09456451616860173,0.04651538022654989
20,TopAP (N=10),20000,5.923991254895082,5.822503263523749,6.020131020484822,0.09881387848053658,0.04980562419246576
20,TopAP (N=5),20000,5.753314512961699,5.654751235963303,5.841049612172578,0.09314918810463757,0.04835559318685364
20,TopAP (bisect),20000,5.907374016364109,5.802939341063892,5.986837588711574,0.09194912382384102,0.04822958883837107
25,Gao matching,20000,5.591235110246653,5.4808156267242,5.692862757630876,0.10602356545333791,0.05269018833307776
25,Graph coloring (full),20000,5.601859449833329,5.5100526774233645,5.6873294467252125,0.088638384650924,0.04396200861872789
25,H2 Gao+greedy,20000,5.860407142968234,5.787232791482473,5.945116699279542,0.07894195389853476,0.043668861006004096
25,Structured access (full),20000,5.807414866747927,5.731865875015639,5.886497615977454,0.07731587048090782,0.042789974772414176
25,TopAP (N=10),20000,5.860374866632014,5.767889682331952,5.920191110559684,0.07615071411386598,0.04156125919922343
25,TopAP (N=5),20000,5.6760598983743416,5.5877451167887,5.755206409499274,0.08373064635528715,0.046639098915266325
25,TopAP (bisect),20000,5.836563164655425,5.757929327567827,5.92158878550827,0.08182972897022145,0.0421110832447688
30,Gao matching,20000,5.600808474369584,5.5327062568340475,5.678496737299125,0.07289524023253868,0.03940111369860109
30,Graph coloring (full),20000,5.8921449764752865,5.819710263580506,5.972926204480796,0.07660797045014522,0.04198123114287774
30,H2 Gao+greedy,20000,5.832030949407017,5.759226691356509,5.904600473192563,0.07268689091802694,0.03675247370467255
30,Structured access (full),20000,5.867069418785989,5.796707809431359,5.946121093144076,0.07470664185635867,0.038418001489748305
30,TopAP (N=10),20000,5.8106614514556805,5.743321262743948,5.8850203367009,0.07084953697847585,0.039165166303301795
30,TopAP (N=5),20000,5.651777869878118,5.5726575760273995,5.7250679775182025,0.07620520074540149,0.03850680108377789
30,TopAP (bisect),20000,5.90891040834525,5.823404893178471,5.983191508672895,0.07989330774721193,0.038257693788957506
