tau_p,pair,agree_rate,a_same_b_diff_rate,a_diff_b_same_rate
10,Gao matching vs Graph coloring,0.8265356783919598,0.08740502512562814,0.08605929648241206
10,Gao matching vs Structured access,0.7864100502512562,0.08254070351758794,0.13104924623115577
10,Graph coloring vs Structured access,0.7975266331658291,0.07630954773869346,0.1261638190954774
15,Gao matching vs Graph coloring,0.8805678391959799,0.05929748743718592,0.06013467336683417
15,Gao matching vs Structured access,0.8620592964824121,0.05784924623115578,0.08009145728643215
15,Graph coloring vs Structured access,0.8685246231155779,0.055035175879396984,0.07644020100502512
20,Gao matching vs Graph coloring,0.9123185929648241,0.04465025125628141,0.04303115577889447
20,Gao matching vs Structured access,0.9017698492462312,0.044112562814070354,0.05411758793969849
20,Graph coloring vs Structured access,0.907459296482412,0.04045829145728643,0.0520824120603015
25,Gao matching vs Graph coloring,0.9305437185929648,0.03551658291457287,0.03393969849246231
25,Gao matching vs Structured access,0.9239226130653266,0.03512060301507538,0.04095678391959799
25,Graph coloring vs Structured access,0.9281748743718593,0.03220603015075377,0.039619095477386936
30,Gao matching vs Graph coloring,0.9421407035175879,0.02929849246231156,0.028560804020100507
30,Gao matching vs Structured access,0.9385206030150753,0.02912361809045226,0.03235577889447236
30,Graph coloring vs Structured access,0.940972864321608,0.0275286432160804,0.03149849246231155
