tau_p,scheme,d1_mean,d1_p95,d2_mean,d2_p95,d3_median_m,d3_p5_m,d4_chromatic
10,Gao matching,1.5876,3.7459999999999978,6.807245301955946e-19,1.9778339732862773e-18,520.0472192000071,167.94010266706752,7.72
10,Graph coloring,1.9904,4.184999999999999,1.0736651625759265e-18,3.7711712103880586e-18,513.1340919973436,142.05827252007697,7.72
10,Structured access,2.4104,5.750999999999997,2.9889750854601924e-19,5.856348160522319e-19,518.6283578234709,160.90279319839817,7.72
15,Gao matching,0.9704,2.785999999999998,5.469354903162437e-19,1.5630627119377206e-18,523.7872645486074,176.95442291104632,7.72
15,Graph coloring,1.2838,3.062999999999999,6.13952225243141e-19,2.072053093084098e-18,513.7865648007423,147.37377313066293,7.72
15,Structured access,0.7636,2.683999999999999,1.1077315694274617e-19,2.182803457583023e-19,522.3795720207546,181.78950774488453,7.72
20,Gao matching,0.68,2.0819999999999994,5.46050950425977e-19,1.150507825867126e-18,527.563456663314,181.9307453963966,7.72
20,Graph coloring,0.9006000000000001,2.402999999999999,4.437926243909036e-19,1.4719018997441046e-18,514.3690291167603,148.8570540263569,7.72
20,Structured access,0.1568,1.08,6.266922957221061e-20,1.1708114003093942e-19,528.0388534711361,206.00290581053312,7.72
25,Gao matching,0.5092,1.9619999999999993,3.0769572977860347e-19,1.034355205339263e-18,529.8399710044486,185.24599436586504,7.72
25,Graph coloring,0.6846,2.02,3.4966112894013755e-19,1.1298519952546858e-18,513.6703037616198,150.29704398998504,7.72
25,Structured access,0.0222,0.06299999999999897,4.1914743303418665e-20,7.696863173363264e-20,533.9423275216518,227.42313465094708,7.72
30,Gao matching,0.4362,1.8009999999999997,4.0213950849614224e-19,9.194355533973091e-19,533.7202332558147,183.3850046059267,7.72
30,Graph coloring,0.1968,1.0019999999999993,8.594871920923026e-20,2.416005508200577e-19,532.9107795861049,209.0446991389628,7.72
30,Structured access,0.0054,0.0,3.006860376058297e-20,5.3128965726875374e-20,539.2487004621149,246.8401865493441,7.72
